id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
1161437,1,0,0,4.0,5.0,3.0,1.0,5.0,5.0,2.0,0.02
848480,72,22,1,4.67,4.63,4.71,4.73,4.8,4.94,4.66,0.56
862462,387,71,4,4.77,4.79,4.78,4.88,4.94,4.89,4.72,2.98
1162707,139,3,0,4.57,4.57,4.47,4.75,4.87,4.68,4.5,1.08
1168731,38,9,1,4.95,4.95,4.82,4.92,4.95,4.71,4.87,0.33
862752,125,0,0,4.96,4.97,4.99,4.95,4.98,4.88,4.93,1.05
1174292,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1176241,9,3,0,4.56,4.67,4.89,4.89,4.89,4.89,4.33,0.08
864488,468,71,4,4.71,4.69,4.74,4.86,4.91,4.81,4.67,3.5
1182242,144,0,0,4.83,4.84,4.91,4.97,4.94,4.75,4.86,1.12
869674,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01
871387,273,45,2,4.68,4.71,4.72,4.78,4.82,4.86,4.62,2.18
1184735,131,19,0,4.92,4.97,4.92,4.96,4.99,4.96,4.85,1.06
874029,88,3,0,4.98,4.99,4.97,4.97,4.98,4.76,4.92,0.74
1209383,30,8,0,4.9,4.83,4.63,4.93,4.97,4.87,4.73,0.33
1209661,414,25,3,4.71,4.8,4.71,4.83,4.91,4.72,4.67,3.31
874273,143,29,0,4.75,4.86,4.76,4.87,4.84,4.97,4.77,1.1
874842,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220946,280,32,1,4.49,4.62,4.78,4.69,4.75,4.66,4.53,2.19
1227155,89,5,1,4.81,4.87,4.71,4.97,4.92,4.93,4.78,0.74
1230570,37,3,0,4.65,4.89,4.41,4.92,4.95,4.97,4.62,0.31
1248292,268,26,1,4.63,4.74,4.84,4.74,4.78,4.75,4.63,2.12
886019,52,0,0,4.82,4.83,4.75,4.85,4.84,4.67,4.79,0.4
1251520,70,0,0,4.87,4.86,4.76,4.9,4.96,4.99,4.9,0.68
1254955,48,0,0,4.5,4.81,4.56,4.9,4.9,4.83,4.58,0.38
888289,437,47,3,4.86,4.82,4.91,4.92,4.94,4.86,4.7,3.35
1256157,77,16,0,4.69,4.77,4.55,4.86,4.86,4.91,4.56,0.6
891946,6,0,0,4.67,4.67,4.67,5.0,5.0,5.0,5.0,0.05
1256570,59,22,4,4.9,4.83,4.8,5.0,4.97,4.92,4.83,0.47
1263062,402,72,1,4.82,4.85,4.82,4.93,4.93,4.84,4.86,3.53
1263329,398,65,5,4.85,4.83,4.84,4.94,4.95,4.8,4.84,3.11
892453,10,0,0,4.67,4.9,4.5,5.0,4.7,4.3,4.4,0.08
893195,21,7,0,4.9,4.81,4.9,4.86,4.95,4.95,4.67,0.28
1266548,394,57,5,4.68,4.82,4.86,4.81,4.83,4.87,4.73,3.1
1267730,263,36,1,4.48,4.63,4.67,4.6,4.74,4.83,4.53,2.06
1272747,337,66,5,4.68,4.82,4.84,4.83,4.84,4.87,4.68,2.71
896209,84,10,0,4.7,4.79,4.85,4.83,4.88,4.64,4.65,0.64
1273055,13,0,0,4.85,4.46,4.38,4.92,5.0,5.0,4.69,0.1
903707,77,0,0,4.39,4.61,4.51,4.82,4.75,4.66,4.59,0.59
1274889,62,9,1,4.63,4.67,4.73,4.75,4.71,4.81,4.48,0.49
1275293,66,3,0,4.88,4.94,4.95,4.97,5.0,4.57,4.71,0.66
904769,475,54,3,4.62,4.75,4.69,4.78,4.74,4.92,4.64,3.68
904775,422,51,1,4.59,4.67,4.68,4.77,4.72,4.92,4.6,3.27
907386,229,42,2,4.98,4.99,5.0,5.0,5.0,4.97,4.96,2.0
1281843,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.01
1289823,268,43,2,4.59,4.77,4.53,4.75,4.84,4.49,4.63,2.14
1296584,6,0,0,4.0,4.33,3.33,4.5,4.33,4.83,4.17,0.08
912617,1,0,0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,0.02
1297217,443,44,2,4.68,4.75,4.68,4.78,4.81,4.92,4.67,3.48
1298830,548,51,1,4.57,4.71,4.63,4.89,4.89,4.87,4.59,4.31
1302691,595,41,0,4.31,4.34,4.56,4.56,4.69,4.72,4.35,4.74
913536,13,0,0,4.85,4.9,4.9,5.0,4.91,5.0,5.0,0.13
1309325,148,11,0,4.89,4.91,4.97,4.88,4.9,4.82,4.81,1.86
1362476,379,4,1,4.68,4.82,4.72,4.74,4.89,4.84,4.7,3.01
1380233,373,53,0,4.65,4.83,4.84,4.87,4.98,4.74,4.65,2.95
1316794,87,11,2,4.74,4.72,4.67,4.94,4.95,4.99,4.57,1.37
1395084,25,7,1,4.76,4.92,4.88,4.92,4.96,4.83,4.92,0.24
1320674,520,68,6,4.9,4.92,4.91,4.96,4.95,4.99,4.85,4.29
1398273,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1326972,15,0,0,4.47,4.67,4.13,4.8,4.67,4.93,4.47,0.17
1408400,231,14,1,4.75,4.82,4.84,4.89,4.95,4.96,4.8,1.85
1426027,177,35,1,4.73,4.77,4.69,4.88,4.87,4.86,4.67,1.43
1330726,275,47,4,4.54,4.63,4.56,4.9,4.89,4.89,4.46,2.23
1331106,35,3,0,4.64,4.6,4.77,4.83,4.86,4.97,4.66,0.29
