host_id,host_name,host_response_rate,host_listings_count,host_total_listings_count
34163379,Aurora,100%,1.0,1.0
39267929,Weihong,Desconocido,1.0,1.0
50293657,Hubgo,100%,1.0,1.0
50302503,Juanma,Desconocido,1.0,1.0
41563621,Marie Rose,Desconocido,1.0,1.0
50350288,Carol E Iván,100%,4.0,4.0
14259451,Araceli,100%,3.0,3.0
50384101,Alejandro,Desconocido,1.0,1.0
1415413,Valery,100%,1.0,1.0
29085468,Yolanda,100%,1.0,1.0
50392291,Jose Luis,Desconocido,1.0,1.0
38423128,Lucía,100%,0.0,0.0
17201449,Julio,Desconocido,1.0,1.0
36225435,Daniele,100%,2.0,2.0
50500757,Isabel,Desconocido,1.0,1.0
50518604,Olga/Rodrigo,Desconocido,1.0,1.0
14314106,Natalia,100%,1.0,1.0
51588646,Miguel,100%,1.0,1.0
51592261,"Catamarina Corporacion, S.L.U.",100%,2.0,2.0
36711312,Maria,Desconocido,1.0,1.0
54086531,Aeropuerto,Desconocido,1.0,1.0
51644832,Jose-Antonio,Desconocido,1.0,1.0
54095349,Silvia,90%,1.0,1.0
54186796,Aroa,Desconocido,1.0,1.0
22474892,Javier,Desconocido,1.0,1.0
54347960,Mary,Desconocido,3.0,3.0
50661039,Olga,82%,1.0,1.0
52766867,Maria,50%,1.0,1.0
51683642,Raúl,Desconocido,1.0,1.0
46130675,María José,91%,1.0,1.0
54484373,Goska,Desconocido,1.0,1.0
4219180,Alicia,86%,1.0,1.0
54571417,Patricia,90%,5.0,5.0
2931421,Daniel,100%,8.0,8.0
6928335,Julie,Desconocido,1.0,1.0
54623373,Lara,44%,9.0,9.0
17163339,Irene Y Jesús,Desconocido,1.0,1.0
4943529,Ana,100%,2.0,2.0
8750775,José Y Raquel,Desconocido,2.0,2.0
51736845,Daniel,100%,5.0,5.0
34498791,Ivan,Desconocido,1.0,1.0
51936850,Ana,Desconocido,1.0,1.0
51988528,Santiago,100%,1.0,1.0
52100521,Paula,Desconocido,1.0,1.0
7323066,Salvador,100%,1.0,1.0
8631060,Daniel Y Gloria,100%,3.0,3.0
22416437,Hugo Y Silvia,100%,7.0,7.0
55149356,Oscar,Desconocido,1.0,1.0
4800628,Raquel,Desconocido,1.0,1.0
50542973,Abbey,Desconocido,1.0,1.0
4599113,Joshu,Desconocido,1.0,1.0
55278897,Javier,100%,1.0,1.0
21634000,Nacho,75%,1.0,1.0
3626994,Eduardo,Desconocido,1.0,1.0
135579,Andrea,Desconocido,1.0,1.0
55569131,Randy,Desconocido,1.0,1.0
13462483,Jorge,90%,1.0,1.0
55632261,Julian,Desconocido,1.0,1.0
